src,dst,lines,median_ns,p90_ns,p95_ns
0,1,1,31.0,35.0,36.0
0,1,2,33.0,36.0,37.0
0,2,1,127.0,137.0,146.0
0,2,2,148.0,159.0,163.0
0,3,1,126.0,137.0,145.0
0,3,2,148.0,158.0,163.0
1,0,1,32.0,36.0,36.0
1,0,2,33.0,36.0,37.0
1,2,1,127.0,139.0,149.0
1,2,2,147.0,157.0,161.0
1,3,1,127.0,140.0,149.0
1,3,2,148.0,161.0,166.0
2,0,1,128.0,139.0,150.0
2,0,2,148.0,160.0,165.0
2,1,1,128.0,142.0,151.0
2,1,2,148.0,159.0,163.0
2,3,1,32.0,36.0,36.0
2,3,2,32.0,36.0,37.0
3,0,1,128.0,140.0,150.0
3,0,2,148.0,158.0,162.0
3,1,1,128.0,141.0,150.0
3,1,2,148.0,157.0,162.0
3,2,1,32.0,36.0,36.0
3,2,2,33.0,37.0,37.0
